last_update,confirmed,deaths,recovered,active,country_id,iso2,iso3,name,landlocked,latitude,longitude,main_religion_2008,un_state,world_4region,population,country_region
2020-01-26,1,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-01-27,1,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-01-28,2,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-01-29,2,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-01-30,3,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-01-31,3,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-01,13,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-04,42,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-05,4,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-07,40,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-12,26,,26,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-17,20,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-21,30,,6,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-24,9,,6,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-25,14,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-27,24,,10,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-28,6,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-02-29,34,,11,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-01,14,,2,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-02,17,,2,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-03,47,,7,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-04,12,,3,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-05,38,,5,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-06,48,,5,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-07,52,,7,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-08,62,,7,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-09,115,2,12,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-10,40,,4,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-11,322,2,16,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-12,97,1,8,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-13,17,,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-14,184,1,8,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-15,248,1,8,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-16,523,8,13,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-17,373,2,5,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-18,684,11,9,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-19,798,11,9,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-20,923,15,9,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-21,1266,19,10,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-22,1470,22,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-23,2088,29,,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-24,2790,33,110,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-25,3251,42,183,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-26,4042,57,184,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-27,4682,66,256,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-28,5576,82,466,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-29,6280,96,466,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-30,7398,125,466,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-03-31,8527,152,1592,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-01,9560,175,1324,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-02,11284,224,1735,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-03,12437,277,2175,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-04,12978,360,2577,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-05,15756,435,3012,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-06,16563,520,3256,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-07,17872,581,3791,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-08,19141,648,4154,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-09,20654,771,5162,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-10,22059,867,5855,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-11,23316,986,6589,,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-12,24299,1094,7123,16463,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-13,25680,1224,7758,17142,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-14,27035,1360,8210,17925,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-15,28209,1514,8966,18236,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-16,30809,1717,9698,19853,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-17,32814,1843,10545,20914,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-18,34356,1986,10964,21992,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-19,35633,2144,11847,22222,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-20,37658,2290,12543,23389,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-21,39402,2483,13188,24305,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-22,41650,2678,14454,25119,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-24,43286,2850,14761,26285,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-25,44056,3014,15149,26522,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-26,45493,3195,16013,26932,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-27,47147,3350,16883,27602,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-28,49616,3559,18268,28507,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
2020-04-29,51150,3756,19231,28936,14,CA,CAN,Canada,coastline,60.0000,-113.0000,christian,TRUE,americas,37855702,Canada
